avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_surge,city,last_trip_date,phone,signup_date,surge_pct,trips_in_first_30_days,ultimate_black_user,weekday_pct,longterm_user
10.37,5.0,5.0,1.0,Winterfell,2014-03-19,iPhone,2014-01-20,0.0,1,False,75.0,0
2.42,5.0,5.0,1.0,Winterfell,2014-01-28,iPhone,2014-01-07,0.0,1,True,100.0,0
1.89,5.0,5.0,1.0,Winterfell,2014-06-13,Android,2014-01-18,0.0,0,False,100.0,0
4.44,5.0,5.0,1.0,King's Landing,2014-06-15,iPhone,2014-01-01,0.0,0,True,0.0,1
2.61,4.8,3.9,1.09,Astapor,2014-06-17,iPhone,2014-01-18,10.5,5,True,63.2,0
4.46,5.0,5.0,1.0,Astapor,2014-04-23,iPhone,2014-01-08,0.0,0,False,100.0,0
1.02,5.0,5.0,1.0,Astapor,2014-01-01,Android,2014-01-01,0.0,1,False,100.0,0
0.0,3.0,5.0,1.0,Astapor,2014-01-08,iPhone,2014-01-07,0.0,1,False,100.0,0
37.11,5.0,5.0,1.0,Astapor,2014-01-25,iPhone,2014-01-19,0.0,2,False,0.0,0
2.3,4.9,5.0,1.35,King's Landing,2014-06-10,iPhone,2014-01-24,36.0,7,False,84.0,0
1.45,4.0,5.0,1.0,Winterfell,2014-04-27,Android,2014-01-21,0.0,0,False,0.0,0
2.47,5.0,4.8,1.0,Astapor,2014-01-30,iPhone,2014-01-26,0.0,5,False,100.0,0
19.8,5.0,4.6015592912744685,1.0,Astapor,2014-02-03,iPhone,2014-01-01,0.0,0,False,100.0,0
1.82,4.0,5.0,1.0,Winterfell,2014-04-20,iPhone,2014-01-23,0.0,1,False,0.0,0
10.49,5.0,5.0,1.0,Astapor,2014-06-01,Android,2014-01-23,0.0,0,True,66.7,0
3.99,5.0,4.0,1.5,Astapor,2014-05-03,iPhone,2014-01-12,25.0,0,False,50.0,0
4.61,4.8,4.0,1.11,Winterfell,2014-06-20,iPhone,2014-01-06,18.2,1,True,81.8,1
2.6,4.7,4.8,1.03,King's Landing,2014-06-29,iPhone,2014-01-03,5.3,7,False,63.2,1
5.01,5.0,4.0,1.0,Astapor,2014-06-30,iPhone,2014-01-09,0.0,0,True,100.0,1
2.42,4.8,5.0,1.0,Winterfell,2014-04-28,iPhone,2014-01-27,0.0,4,False,100.0,0
3.55,4.9,4.7,1.17,King's Landing,2014-05-25,iPhone,2014-01-20,25.0,9,True,66.7,0
3.06,4.7,5.0,1.0,Winterfell,2014-07-01,iPhone,2014-01-23,0.0,6,True,67.6,1
3.3,4.8,5.0,1.0,King's Landing,2014-06-29,iPhone,2014-01-05,0.0,3,False,42.9,1
4.67,5.0,5.0,1.0,Astapor,2014-05-18,iPhone,2014-01-19,0.0,0,True,0.0,0
6.28,4.778158195947439,5.0,1.0,Winterfell,2014-02-09,iPhone,2014-01-10,0.0,1,False,0.0,0
10.83,5.0,5.0,1.0,Astapor,2014-06-26,Android,2014-01-18,0.0,3,True,50.0,1
1.55,4.5,3.7,1.0,Winterfell,2014-06-27,iPhone,2014-01-02,0.0,7,False,55.2,1
1.13,4.4,4.0,1.0,Winterfell,2014-05-28,Android,2014-01-05,0.0,5,False,80.0,0
23.34,4.0,1.0,1.0,Astapor,2014-01-18,iPhone,2014-01-17,0.0,1,True,0.0,0
1.35,4.0,4.6015592912744685,1.0,Astapor,2014-01-23,iPhone,2014-01-23,0.0,1,True,100.0,0
4.89,4.6,4.1,1.0,Winterfell,2014-07-01,iPhone,2014-01-26,1.9,11,True,76.9,1
5.36,5.0,5.0,1.0,Astapor,2014-01-11,Android,2014-01-07,0.0,4,True,75.0,0
4.2,5.0,4.3,1.02,King's Landing,2014-06-19,iPhone,2014-01-18,10.0,1,False,90.0,1
2.86,4.9,4.9,1.0,Astapor,2014-03-05,Android,2014-01-27,0.0,73,True,89.7,0
8.3,5.0,4.6015592912744685,1.0,Astapor,2014-06-02,iPhone,2014-01-17,0.0,0,False,100.0,0
6.08,5.0,5.0,1.17,Astapor,2014-05-25,Android,2014-01-18,16.7,1,False,33.3,0
2.15,4.9,4.2,1.0,King's Landing,2014-06-25,iPhone,2014-01-31,0.0,8,True,50.0,0
6.86,4.9,4.4,1.0,Winterfell,2014-06-22,iPhone,2014-01-30,0.0,2,True,50.0,0
4.08,4.9,3.0,1.0,Winterfell,2014-06-28,iPhone,2014-01-01,0.0,3,True,63.6,1
4.99,5.0,5.0,1.0,Winterfell,2014-06-23,Android,2014-01-20,0.0,0,False,0.0,1
1.63,5.0,4.6015592912744685,1.0,Astapor,2014-04-06,Android,2014-01-04,0.0,0,False,0.0,0
10.79,4.9,4.9,1.09,King's Landing,2014-06-29,iPhone,2014-01-07,15.9,14,False,50.0,1
9.14,5.0,3.0,1.0,Astapor,2014-01-08,iPhone,2014-01-03,0.0,1,False,100.0,0
3.07,5.0,4.6015592912744685,1.0,Astapor,2014-04-14,Android,2014-01-19,0.0,1,False,66.7,0
5.25,5.0,5.0,1.0,Astapor,2014-06-11,iPhone,2014-01-25,0.0,2,True,50.0,0
3.81,5.0,4.7,1.0,King's Landing,2014-06-17,iPhone,2014-01-09,0.0,1,True,100.0,1
2.65,5.0,4.8,1.0,Astapor,2014-06-29,iPhone,2014-01-09,0.0,1,True,36.4,1
10.29,3.7,5.0,1.0,Winterfell,2014-03-29,Android,2014-01-01,0.0,1,False,33.3,0
12.32,4.7,4.4,1.05,Winterfell,2014-06-28,Android,2014-01-08,9.1,1,False,63.6,1
1.16,4.3,4.0,1.0,Astapor,2014-04-09,iPhone,2014-01-07,0.0,0,False,100.0,0
0.0,5.0,5.0,1.0,Winterfell,2014-01-11,Android,2014-01-10,0.0,1,False,100.0,0
2.64,5.0,2.5,1.63,Astapor,2014-04-17,iPhone,2014-01-10,50.0,1,False,100.0,0
16.85,5.0,5.0,1.0,Winterfell,2014-06-10,iPhone,2014-01-14,0.0,0,True,85.7,0
2.67,4.9,4.3,1.06,Astapor,2014-05-23,Android,2014-01-15,11.1,3,True,88.9,0
5.55,4.8,4.9,1.0,Winterfell,2014-06-15,iPhone,2014-01-07,0.0,2,True,41.2,1
1.58,5.0,5.0,1.0,King's Landing,2014-06-23,iPhone,2014-01-17,0.0,0,False,0.0,1
1.78,5.0,5.0,1.0,Astapor,2014-04-03,Android,2014-01-25,0.0,0,True,33.3,0
6.1,4.8,5.0,1.0,Winterfell,2014-06-05,iPhone,2014-01-21,0.0,0,True,100.0,0
8.14,4.6,4.4,1.32,Winterfell,2014-03-16,iPhone,2014-01-10,20.0,0,True,90.0,0
6.04,4.5,5.0,1.0,Astapor,2014-01-17,Android,2014-01-16,0.0,2,False,100.0,0
2.92,5.0,4.0,1.38,Winterfell,2014-06-28,Android,2014-01-19,50.0,2,True,0.0,1
2.81,4.3,4.8,1.3,Astapor,2014-04-20,iPhone,2014-01-26,20.0,0,False,20.0,0
2.0,5.0,5.0,1.0,Winterfell,2014-01-12,iPhone,2014-01-11,0.0,3,False,0.0,0
7.4,5.0,4.5,1.0,Astapor,2014-05-25,Android,2014-01-31,0.0,0,True,0.0,0
1.2,4.0,5.0,1.0,Astapor,2014-03-27,Android,2014-01-12,0.0,0,False,100.0,0
2.64,5.0,5.0,1.0,King's Landing,2014-06-06,iPhone,2014-01-25,0.0,0,True,100.0,0
3.33,4.8,3.8,1.06,Winterfell,2014-06-30,iPhone,2014-01-10,25.0,2,True,37.5,1
2.88,5.0,5.0,1.0,King's Landing,2014-06-11,iPhone,2014-01-10,0.0,0,False,100.0,1
3.22,4.5,4.9,1.0,Winterfell,2014-06-28,iPhone,2014-01-19,0.0,4,False,43.8,1
13.78,5.0,5.0,1.0,Winterfell,2014-01-03,iPhone,2014-01-02,0.0,1,False,100.0,0
8.2,5.0,4.6015592912744685,1.0,Astapor,2014-05-31,iPhone,2014-01-07,0.0,0,True,0.0,0
10.47,4.6,4.4,1.0,King's Landing,2014-06-13,iPhone,2014-01-18,0.0,4,True,45.5,0
2.27,5.0,5.0,1.0,King's Landing,2014-06-08,iPhone,2014-01-18,0.0,2,True,16.7,0
1.68,4.7,3.8,1.06,Winterfell,2014-05-25,Android,2014-01-01,8.3,3,False,41.7,0
3.57,4.8,4.5,1.1,King's Landing,2014-06-25,iPhone,2014-01-26,10.0,1,True,10.0,0
11.63,4.8,5.0,1.0,King's Landing,2014-06-23,iPhone,2014-01-17,0.0,2,False,40.0,1
0.95,5.0,5.0,1.0,Winterfell,2014-06-21,iPhone,2014-01-16,0.0,0,True,100.0,1
4.86,4.7,5.0,1.03,King's Landing,2014-06-24,iPhone,2014-01-04,2.3,11,True,57.5,1
4.97,5.0,5.0,1.0,Winterfell,2014-03-28,iPhone,2014-01-14,0.0,0,True,100.0,0
5.44,4.6,3.7,1.09,Winterfell,2014-07-01,iPhone,2014-01-25,3.8,7,False,57.7,1
2.64,5.0,4.6015592912744685,1.0,Winterfell,2014-05-21,iPhone,2014-01-11,0.0,0,False,100.0,0
3.42,5.0,4.8,1.21,Astapor,2014-06-29,iPhone,2014-01-10,21.4,0,True,28.6,1
1.64,4.8,4.5,1.14,King's Landing,2014-06-16,iPhone,2014-01-05,22.9,10,False,62.9,1
4.43,4.7,5.0,1.17,Winterfell,2014-06-28,iPhone,2014-01-18,33.3,0,False,66.7,1
4.01,5.0,5.0,1.0,Winterfell,2014-05-24,iPhone,2014-01-31,0.0,0,True,0.0,0
2.1,4.4,4.0,1.0,Winterfell,2014-04-10,iPhone,2014-01-21,0.0,2,True,50.0,0
7.63,5.0,5.0,1.0,Winterfell,2014-01-25,iPhone,2014-01-24,0.0,2,True,50.0,0
1.89,4.5,4.5,1.0,Winterfell,2014-02-02,iPhone,2014-01-31,0.0,4,False,0.0,0
3.18,5.0,4.0,1.0,Winterfell,2014-01-27,Android,2014-01-26,0.0,1,False,100.0,0
3.72,5.0,5.0,1.0,Winterfell,2014-05-18,Android,2014-01-20,0.0,1,False,20.0,0
3.8,4.7,5.0,1.0,Astapor,2014-03-28,iPhone,2014-01-11,0.0,0,False,100.0,0
18.03,5.0,5.0,1.0,Astapor,2014-01-19,Android,2014-01-12,0.0,1,False,0.0,0
2.92,4.7,5.0,1.0,Astapor,2014-06-01,iPhone,2014-01-14,0.0,1,True,30.0,0
2.03,4.7,4.9,1.0,King's Landing,2014-06-25,iPhone,2014-01-12,0.0,0,True,42.9,1
12.6,5.0,5.0,1.0,Astapor,2014-01-04,iPhone,2014-01-04,0.0,1,False,0.0,0
2.86,5.0,5.0,1.0,King's Landing,2014-06-20,iPhone,2014-01-31,0.0,2,True,42.9,0
18.57,5.0,5.0,1.0,King's Landing,2014-06-28,Android,2014-01-05,0.0,5,True,100.0,1
2.36,5.0,4.6015592912744685,1.0,Winterfell,2014-01-07,Android,2014-01-06,0.0,1,False,100.0,0
1.73,5.0,5.0,1.0,Winterfell,2014-02-22,Android,2014-01-20,0.0,0,False,100.0,0
3.37,3.5,5.0,1.0,Astapor,2014-01-31,Android,2014-01-30,0.0,2,False,100.0,0
2.11,5.0,1.0,1.0,Winterfell,2014-03-14,iPhone,2014-01-24,0.0,0,True,100.0,0
5.45,5.0,4.6015592912744685,1.0,Astapor,2014-06-17,iPhone,2014-01-09,0.0,0,False,100.0,1
2.2,5.0,4.0,1.0,Winterfell,2014-01-15,iPhone,2014-01-14,0.0,1,False,100.0,0
3.88,5.0,5.0,1.0,Winterfell,2014-04-06,Android,2014-01-31,0.0,1,False,50.0,0
9.77,5.0,2.0,1.0,Astapor,2014-01-15,Android,2014-01-07,0.0,1,False,100.0,0
1.75,5.0,4.5,1.0,Astapor,2014-04-06,Android,2014-01-25,0.0,3,True,0.0,0
20.32,5.0,5.0,1.0,Astapor,2014-03-18,iPhone,2014-01-28,0.0,0,False,100.0,0
14.37,5.0,5.0,1.0,King's Landing,2014-04-19,iPhone,2014-01-05,0.0,0,False,75.0,0
4.46,2.0,4.0,1.0,Astapor,2014-02-25,iPhone,2014-01-30,0.0,1,False,100.0,0
12.52,5.0,4.0,1.0,Astapor,2014-01-27,iPhone,2014-01-15,0.0,1,False,100.0,0
4.2,4.6,3.9,1.02,Astapor,2014-06-13,iPhone,2014-01-02,3.5,2,False,69.0,1
2.74,4.0,3.0,1.0,Winterfell,2014-03-17,Android,2014-01-28,0.0,1,True,0.0,0
18.15,5.0,4.6015592912744685,1.0,Winterfell,2014-05-06,iPhone,2014-01-01,0.0,0,True,100.0,0
7.54,5.0,5.0,1.0,King's Landing,2014-01-05,iPhone,2014-01-04,0.0,1,False,0.0,0
10.16,5.0,5.0,1.0,Winterfell,2014-05-25,iPhone,2014-01-15,0.0,0,True,75.0,0
26.9,5.0,4.6015592912744685,1.0,Winterfell,2014-01-26,Android,2014-01-01,0.0,1,True,0.0,0
3.15,3.8,5.0,1.05,King's Landing,2014-06-08,iPhone,2014-01-01,20.0,1,False,20.0,1
4.54,5.0,5.0,1.0,Winterfell,2014-01-19,iPhone,2014-01-19,0.0,1,False,0.0,0
0.0,5.0,4.6015592912744685,1.0,Winterfell,2014-01-14,Android,2014-01-11,0.0,1,False,100.0,0
8.91,5.0,5.0,1.0,Winterfell,2014-06-23,iPhone,2014-01-11,0.0,2,True,33.3,1
10.37,4.0,4.0,1.25,Winterfell,2014-05-17,Android,2014-01-23,50.0,0,False,75.0,0
1.34,5.0,4.6015592912744685,1.0,Winterfell,2014-01-29,Android,2014-01-29,0.0,1,False,100.0,0
4.42,4.5,4.5,1.0,Winterfell,2014-06-25,iPhone,2014-01-25,0.0,3,True,20.0,1
5.99,3.0,5.0,1.0,Winterfell,2014-01-16,iPhone,2014-01-12,0.0,4,False,100.0,0
1.78,5.0,5.0,1.04,King's Landing,2014-06-21,iPhone,2014-01-09,14.3,0,True,42.9,1
1.27,5.0,5.0,1.0,Winterfell,2014-02-21,iPhone,2014-01-29,0.0,1,False,100.0,0
8.0,4.8,4.0,1.0,Winterfell,2014-06-11,iPhone,2014-01-27,0.0,3,True,62.5,0
3.75,5.0,3.7,2.25,Winterfell,2014-03-02,iPhone,2014-01-08,66.7,0,False,33.3,0
1.38,4.0,5.0,2.0,Winterfell,2014-03-03,iPhone,2014-01-26,50.0,1,False,0.0,0
4.58,5.0,5.0,1.0,Winterfell,2014-05-16,iPhone,2014-01-16,0.0,0,False,100.0,0
2.34,4.6,4.6,1.02,Winterfell,2014-06-29,iPhone,2014-01-11,2.7,22,True,83.8,1
27.32,5.0,5.0,1.0,King's Landing,2014-06-27,iPhone,2014-01-17,0.0,1,False,100.0,1
2.5,4.5,4.6,1.0,Winterfell,2014-05-20,iPhone,2014-01-27,0.0,2,False,57.1,0
6.87,5.0,4.5,1.2,King's Landing,2014-06-29,iPhone,2014-01-12,26.1,2,True,52.2,1
5.28,5.0,5.0,1.0,Winterfell,2014-05-12,iPhone,2014-01-06,0.0,0,False,66.7,0
2.09,5.0,5.0,1.0,Astapor,2014-05-27,iPhone,2014-01-09,0.0,0,True,100.0,0
3.69,5.0,5.0,1.0,Winterfell,2014-06-18,iPhone,2014-01-22,0.0,0,False,100.0,0
2.52,5.0,5.0,1.0,Astapor,2014-01-26,Android,2014-01-19,0.0,3,False,0.0,0
14.93,5.0,4.6015592912744685,1.0,Winterfell,2014-01-26,iPhone,2014-01-24,0.0,1,False,0.0,0
11.78,5.0,5.0,1.0,Astapor,2014-05-09,Android,2014-01-06,0.0,0,False,100.0,0
16.88,3.0,5.0,1.0,Winterfell,2014-05-14,iPhone,2014-01-14,0.0,0,False,100.0,0
2.34,5.0,5.0,1.0,King's Landing,2014-06-29,iPhone,2014-01-17,0.0,0,False,0.0,1
0.89,3.0,5.0,1.0,Winterfell,2014-02-10,iPhone,2014-01-10,0.0,0,False,100.0,0
3.07,5.0,5.0,1.0,Winterfell,2014-01-19,Android,2014-01-18,0.0,1,False,0.0,0
3.81,4.9,4.3,1.04,Astapor,2014-06-20,iPhone,2014-01-18,7.1,7,False,57.1,1
19.77,4.0,4.6015592912744685,1.0,Winterfell,2014-01-24,iPhone,2014-01-24,0.0,1,True,100.0,0
2.7,4.5,4.5,1.5,King's Landing,2014-06-27,Android,2014-01-11,50.0,0,False,50.0,1
2.66,4.3,4.7,1.0,Winterfell,2014-06-28,iPhone,2014-01-06,0.0,8,True,72.2,1
12.21,5.0,4.6015592912744685,1.0,King's Landing,2014-06-14,Android,2014-01-28,0.0,0,True,100.0,0
2.34,4.8,4.9,1.04,Winterfell,2014-06-29,iPhone,2014-01-19,7.7,6,False,0.0,1
10.61,5.0,4.3,1.13,Winterfell,2014-05-18,Android,2014-01-25,25.0,1,True,25.0,0
7.89,5.0,4.6015592912744685,1.0,King's Landing,2014-03-31,iPhone,2014-01-18,0.0,0,False,0.0,0
5.31,5.0,4.6015592912744685,1.0,Astapor,2014-05-05,iPhone,2014-01-29,0.0,2,False,100.0,0
1.69,5.0,4.6,1.0,Winterfell,2014-06-29,Android,2014-01-18,0.0,0,False,40.0,1
5.04,4.9,4.8,1.0,Astapor,2014-06-28,iPhone,2014-01-24,0.0,3,True,39.1,1
6.8,5.0,5.0,1.0,King's Landing,2014-06-28,iPhone,2014-01-24,0.0,0,False,100.0,1
17.87,5.0,5.0,1.0,Winterfell,2014-05-22,iPhone,2014-01-06,0.0,0,True,100.0,0
24.43,5.0,5.0,1.0,Astapor,2014-05-17,Android,2014-01-18,0.0,1,True,0.0,0
2.69,4.7,5.0,1.04,King's Landing,2014-06-30,iPhone,2014-01-25,4.9,2,False,46.3,1
18.61,2.0,1.0,1.0,Winterfell,2014-01-06,iPhone,2014-01-06,0.0,1,True,100.0,0
9.31,4.0,4.6015592912744685,1.0,Winterfell,2014-06-12,iPhone,2014-01-28,0.0,1,True,100.0,0
7.17,4.3,5.0,1.0,Winterfell,2014-06-29,iPhone,2014-01-19,0.0,4,True,45.5,1
12.96,5.0,5.0,1.0,Winterfell,2014-04-30,Android,2014-01-05,0.0,0,False,100.0,0
10.68,5.0,4.6015592912744685,1.0,Winterfell,2014-03-26,iPhone,2014-01-24,0.0,0,False,100.0,0
1.62,5.0,4.0,1.0,Winterfell,2014-06-29,Android,2014-01-01,0.0,0,True,42.9,1
7.6,5.0,4.5,1.0,Astapor,2014-04-16,iPhone,2014-01-24,0.0,1,False,100.0,0
1.53,4.8,5.0,1.09,King's Landing,2014-06-28,iPhone,2014-01-26,18.2,6,False,45.5,1
5.72,5.0,4.6015592912744685,1.0,Astapor,2014-01-18,Android,2014-01-18,0.0,1,False,0.0,0
16.19,4.3,5.0,1.0,Astapor,2014-06-21,iPhone,2014-01-26,0.0,2,False,33.3,0
3.28,5.0,5.0,1.0,Astapor,2014-05-26,iPhone,2014-01-10,0.0,0,False,100.0,0
12.45,4.8,4.6015592912744685,1.0,King's Landing,2014-06-16,Android,2014-01-20,0.0,2,False,100.0,0
6.46,4.9,4.4,1.0,Astapor,2014-06-26,iPhone,2014-01-25,0.0,5,True,87.5,1
5.05,4.3,5.0,1.13,Winterfell,2014-05-18,iPhone,2014-01-01,25.0,0,False,25.0,0
13.83,4.8,4.5,1.08,Astapor,2014-05-16,iPhone,2014-01-22,16.7,2,True,83.3,0
3.42,5.0,4.0,1.0,Astapor,2014-01-09,Android,2014-01-08,0.0,1,False,100.0,0
3.04,5.0,5.0,1.38,Winterfell,2014-05-04,iPhone,2014-01-30,50.0,0,False,50.0,0
17.04,5.0,4.6015592912744685,1.0,Winterfell,2014-03-27,iPhone,2014-01-11,0.0,0,True,100.0,0
19.07,5.0,4.5,1.0,Winterfell,2014-06-21,iPhone,2014-01-26,0.0,1,False,50.0,0
1.13,5.0,5.0,1.0,King's Landing,2014-01-09,Android,2014-01-08,0.0,2,False,100.0,0
2.82,4.0,4.6015592912744685,1.13,Astapor,2014-03-28,Android,2014-01-04,50.0,1,True,50.0,0
8.09,5.0,5.0,1.0,Winterfell,2014-03-03,iPhone,2014-01-26,0.0,2,False,100.0,0
3.34,5.0,4.6015592912744685,1.15,King's Landing,2014-06-25,iPhone,2014-01-24,20.0,1,True,100.0,1
20.03,5.0,4.6015592912744685,1.0,King's Landing,2014-06-01,Android,2014-01-01,0.0,0,False,0.0,1
5.38,5.0,4.6015592912744685,1.0,Astapor,2014-01-17,iPhone,2014-01-16,0.0,1,False,100.0,0
10.73,5.0,5.0,1.0,Astapor,2014-01-18,iPhone,2014-01-17,0.0,1,False,0.0,0
17.63,5.0,5.0,1.0,Winterfell,2014-04-24,iPhone,2014-01-03,0.0,0,False,100.0,0
6.2,3.0,3.0,1.0,Winterfell,2014-01-11,Android,2014-01-10,0.0,1,True,100.0,0
4.56,4.9,2.7,1.0,Astapor,2014-05-19,iPhone,2014-01-19,0.0,0,True,45.5,0
2.99,4.3,4.2,1.0,Winterfell,2014-06-23,iPhone,2014-01-17,0.0,4,True,45.5,1
3.56,5.0,5.0,1.0,Winterfell,2014-06-26,iPhone,2014-01-10,0.0,2,False,87.5,1
1.59,5.0,5.0,1.0,Winterfell,2014-06-11,iPhone,2014-01-11,0.0,0,True,100.0,1
0.68,5.0,4.0,1.0,Winterfell,2014-01-09,iPhone,2014-01-08,0.0,2,False,100.0,0
9.15,5.0,4.3,1.0,King's Landing,2014-02-10,Android,2014-01-31,0.0,3,True,66.7,0
